Open,High,Low,Close,Adj Close,Volume
269.006683,270.829865,264.393982,265.579529,265.579529,8188779
260.757629,261.464966,249.310516,251.497330,251.497330,12628558
248.737671,256.473663,244.513504,244.543396,244.543396,10860556
251.058975,252.553375,246.341644,248.154861,248.154861,9848577
250.809906,259.731476,248.598190,258.441284,258.441284,8726186
258.695343,264.010437,257.649261,260.667938,260.667938,7215946
264.199707,267.631836,258.182281,259.049011,259.049011,6610686
259.024109,264.234589,255.611908,262.446289,262.446289,7219560
266.281921,268.717773,265.783783,268.533478,268.533478,4689110
268.090118,270.481171,264.413910,269.340454,269.340454,6000407
271.352905,272.130005,266.999207,269.469971,269.469971,5406790
269.365356,270.899597,264.618134,265.255768,265.255768,4849108
261.255737,262.974304,259.392731,261.440063,261.440063,4820401
254.446274,260.403931,254.296829,260.115021,260.115021,5451959
264.234589,266.969330,262.715271,266.017914,266.017914,5532259
265.903320,268.543427,264.956879,266.481171,266.481171,4778845
264.707825,266.326752,259.621887,261.445038,261.445038,6562105
258.012909,265.001709,257.783752,264.070190,264.070190,5360819
265.006683,265.943176,260.722748,263.771332,263.771332,4726048
265.300598,267.472443,261.928223,265.041565,265.041565,5408999
266.750153,271.472443,266.281921,270.266968,270.266968,5943796
271.382782,272.398987,270.555878,272.319275,272.319275,7095095
269.166107,273.923279,266.690369,272.314301,272.314301,4955304
273.674194,278.217163,270.321777,272.294373,272.294373,5579033
272.822388,276.463745,268.423889,268.593262,268.593262,5047448
262.142426,263.402710,256.040283,259.357849,259.357849,8833587
257.315521,262.227112,256.289368,261.773804,261.773804,5575420
262.640564,265.469940,255.666702,264.951904,264.951904,5288147
268.095123,272.503601,267.024139,268.662994,268.662994,6044371
269.738953,270.994232,262.864716,263.432587,263.432587,4543567
267.019135,267.646790,258.735199,262.765106,262.765106,5834989
259.133698,261.021637,256.229584,256.558350,256.558350,5467617
253.973053,255.044037,246.575775,246.834808,246.834808,8982342
244.100052,250.780014,239.402664,250.012894,250.012894,8348776
247.248260,252.951874,239.487350,251.407669,251.407669,9102190
252.802429,256.653015,250.361588,256.393982,256.393982,6874270
257.450012,259.278168,254.197205,256.598206,256.598206,5733209
261.609436,267.731476,260.623108,267.582031,267.582031,4661808
265.733978,272.379059,265.733978,270.575806,270.575806,5728190
273.041565,276.578308,271.298096,273.225891,273.225891,6379422
273.988037,278.456268,272.986786,278.451294,278.451294,11417837
298.615723,298.680481,292.687927,294.735260,294.735260,17123744
290.770111,294.809967,287.920807,290.117554,290.117554,8046447
289.011719,295.173615,287.621918,294.152435,294.152435,7630093
